,avgtimeall,avgtimealllure,avgtimeallreal,avgtimeneglure,avgtimenegreal,avgtimeneulure,avgtimeneureal,avgtimeposlure,avgtimeposreal,condition,subjid,totalneglure,totalnegreal,totalneulure,totalneureal,totalposlure,totalposreal
189,11.036200000000001,3.758875,19.35314285714286,3.1545,27.953,4.36325,na,na,7.886666666666667,L42,cs24,4,4,0,0,4,3
190,83.207,na,83.207,na,90.255,na,na,na,76.159,L22,CS76,0,1,0,0,0,1
191,32.66575,na,32.66575,na,46.111666666666665,na,11.7985,na,33.13133333333334,L11,cs03,0,3,0,2,0,3
192,44.121,42.47266666666666,45.35725,55.3,64.605,36.059,na,na,26.1095,M21,cs57,2,2,0,0,1,2
193,29.2668,2.718,35.904,2.718,35.717,na,na,na,36.091,M31,CS122,0,2,0,0,1,2
194,15.71,11.21,18.41,na,27.61866666666667,11.21,3.834,na,5.36,L41,cs129,3,3,0,1,0,1
195,8.123333333333333,8.123333333333333,na,17.81,na,na,na,3.28,na,L11,cs27,0,0,2,0,1,0
196,15.08,6.905,23.255,5.5445,11.127,9.626,na,na,29.319,M22,CS109,1,1,0,0,2,2
197,7.154333333333333,5.225,8.119,5.694,13.1425,4.756,na,na,3.0955,L32,cs35,1,2,0,0,1,2
198,11.6165,4.2455,15.302,4.2455,15.8165,na,na,na,14.7875,L11,cs43,0,2,0,0,2,2
199,34.810375,27.36611111111111,44.38157142857143,17.562,58.73133333333334,54.839,4.682,5.765,43.265,M11,CS136,3,3,2,1,4,3
200,36.29,35.8495,37.171,na,37.171,64.369,na,7.33,na,L42,cs38,1,1,1,0,0,0
201,10.781545454545453,8.462714285714286,14.8395,3.257,na,12.367,na,na,14.8395,M22,cs29,4,0,0,0,3,4
202,34.1398,23.770666666666667,49.6935,na,na,25.249,na,20.814,49.6935,L31,CS77,2,0,1,0,0,2
203,1.129,na,1.129,na,na,na,na,na,1.129,M21,test6,0,0,0,0,0,1
204,23.2538,28.5965,1.883,21.683333333333334,na,49.336,1.883,na,na,M22,cs16,1,0,0,1,3,0
205,15.238666666666665,10.126,16.261200000000002,na,na,na,9.87,10.126,25.848,L11,cs92,0,0,1,3,0,2
206,14.528923076923077,11.246799999999999,16.58025,19.0935,14.03075,6.015666666666667,na,na,19.12975,L31,CS97,3,4,0,0,2,4
207,2.4143333333333334,0.755,5.733,0.755,5.733,na,na,na,na,M12,teststefano,0,1,0,0,2,0
208,4.0255,5.425,2.626,na,na,5.425,na,na,2.626,L32,stefano1,1,0,0,0,0,1
209,5.644333333333333,5.233,6.467,na,na,5.233,na,na,6.467,L42,cs128,2,0,0,0,0,1
210,5.490600000000001,7.6135,4.075333333333334,6.313,5.0155,8.914,na,na,2.195,M32,cs07,1,2,0,0,1,1
211,5.87425,3.781,6.572,3.781,8.642,na,na,na,5.537,L32,cs07,0,1,0,0,1,2
212,19.97475,17.727285714285713,35.707,5.607,35.707,19.747333333333334,na,na,na,M22,cs66,6,1,0,0,1,0
213,14.967600000000001,11.666,17.8565,18.567,23.02475,9.8355,3.64,5.186,15.704333333333334,L31,cs18,4,4,1,1,2,3
214,25.94125,18.762,28.334333333333333,na,60.85,na,na,18.762,12.0765,M21,CS70,0,1,1,0,0,2
215,7.765,6.6,10.095,8.456,10.095,4.744,na,na,na,L42,cs21,1,1,0,0,1,0
216,15.94425,10.790545454545454,22.243222222222222,12.29,48.023666666666664,15.22975,7.9615,5.22675,10.04875,L41,CS102,4,3,4,2,3,4
217,30.656875,22.8704,43.63433333333334,8.513,43.6245,23.674,na,34.817,43.654,L42,cs86,3,2,1,0,1,1
218,24.32288888888889,16.5695,30.525599999999997,3.706,31.036,20.857333333333333,na,na,29.76,M22,CS130,3,3,0,0,1,2
219,8.1586,5.7156,10.601600000000001,4.2415,10.007,7.1215,5.114,5.852,12.629,L11,cs137,2,1,1,1,2,3
220,8.9995,na,8.9995,na,8.9995,na,na,na,na,L12,teststefano,0,2,0,0,0,0
221,16.519599999999997,2.039,18.128555555555554,2.039,31.025,na,na,na,7.8114,M42,cs49,0,4,0,0,1,5
222,9.311923076923076,6.728833333333333,11.526,3.5743333333333336,10.17775,9.883333333333335,na,na,13.323666666666666,M22,cs56,3,4,0,0,3,3
223,14.600666666666665,8.070666666666668,21.130666666666666,8.226,27.126,7.993,na,na,9.14,L41,CS95,2,2,0,0,1,1
224,16.21375,11.35675,21.07075,na,33.317,12.825,3.279,6.952,14.37,M42,cs40,3,2,1,1,0,1
225,10.378318181818182,4.930909090909091,15.825727272727272,6.6835,22.627,3.63525,10.4875,4.321666666666667,12.52,L21,cs46,4,4,3,2,4,5
226,7.788571428571428,5.996666666666667,9.1325,4.852,10.6155,3.117,na,10.021,7.6495,M12,cs43,1,2,1,0,1,2
227,21.042,20.085,21.999,12.3515,18.398333333333333,27.8185,na,na,32.801,M11,cs134,2,3,0,0,2,1
228,27.00483333333333,17.741,31.63675,20.98,35.800333333333334,14.502,na,na,19.146,L22,ryan,1,3,0,0,1,1
229,7.151888888888888,4.39075,9.3608,4.9945,11.950666666666667,3.787,na,na,5.476,L32,cs68,2,3,0,0,2,2
230,10.60625,8.208666666666666,17.799,8.208666666666666,17.799,na,na,na,na,M32,CS122,0,1,0,0,3,0
231,4.0984,4.0298,4.167,4.186333333333333,3.539,3.795,na,na,4.585666666666667,L42,cs10,2,2,0,0,3,3
232,6.943333333333333,5.26475,10.3005,5.07,na,5.4595,na,na,10.3005,M22,cs09,2,0,0,0,2,2
233,20.81957142857143,24.134,16.400333333333332,36.4035,36.841,11.8645,7.381,na,4.979,M21,cs29,2,1,0,1,2,1
234,23.642,na,23.642,na,23.642,na,na,na,na,M41,CS102,0,1,0,0,0,0
235,8.2385,8.104,8.3192,na,9.382,8.104,na,na,7.610666666666667,L31,cs32,3,2,0,0,0,3
236,4.1695,4.107,4.232,4.107,4.232,na,na,na,na,L21,test01,0,1,0,0,1,0
237,38.498333333333335,na,38.498333333333335,na,38.0575,na,na,na,39.38,M21,ryan,0,2,0,0,0,1
238,29.67233333333333,12.58,38.2185,12.58,38.2185,na,na,na,na,M31,cs82,0,2,0,0,1,0
239,40.805,34.0675,52.034166666666664,23.68,64.55566666666667,40.9925,na,na,39.51266666666666,L21,CS121,6,3,0,0,4,3
240,8.625333333333334,5.1315,11.420399999999999,2.3375,10.996666666666666,7.9255,na,na,12.056,M22,cs34,2,3,0,0,2,2
241,3.7217777777777776,2.162,5.6715,2.119,na,2.1906666666666665,na,na,5.6715,M31,cs60,3,0,0,0,2,4
242,15.240833333333335,11.681,15.9528,11.681,19.40875,na,na,na,2.129,M32,CS75,0,4,0,0,1,1
243,4.6225,1.58,7.665,1.58,7.665,na,na,na,na,M41,test6,0,1,0,0,1,0
244,6.863714285714285,3.6733333333333333,9.2565,3.2225,13.5305,4.575,na,na,4.9825,M32,cs68,1,2,0,0,2,2
245,5.135,na,5.135,na,5.135,na,na,na,na,M11,subj03,0,2,0,0,0,0
246,15.622666666666666,6.879666666666667,19.99416666666667,5.868,23.546666666666667,7.3855,na,na,16.441666666666666,L11,CS74,2,3,0,0,1,3
247,11.7025,10.5925,12.4425,21.116,20.28066666666667,7.084666666666667,na,na,4.604333333333333,L31,cs60,3,3,0,0,1,3
248,23.073454545454545,7.467714285714285,50.3835,1.5023333333333333,151.287,43.26,6.981,na,21.633,L21,ryantest,1,1,0,1,6,2
249,48.6685,58.034,39.303,na,39.303,58.034,na,na,na,L21,cs16,1,1,0,0,0,0
250,9.871285714285714,5.337,10.627,na,11.645333333333333,5.337,na,na,9.608666666666666,M31,cs47,1,3,0,0,0,3
251,8.276818181818182,6.936,9.8858,7.134,15.8235,8.066666666666666,3.09,3.148,7.346,L12,cs52,3,2,1,1,2,2
252,12.193666666666665,9.842,13.3695,9.842,23.042,na,na,na,3.697,M12,TestRyan,0,1,0,0,1,1
253,7.1585,3.8425,10.4745,3.977,na,3.708,na,na,10.4745,L22,cs45,1,0,0,0,1,2
254,3.4908333333333337,3.545,3.4366666666666665,2.579,3.866,4.028,na,na,2.578,M22,cs17,2,2,0,0,1,1
255,15.065285714285714,12.612,16.90525,9.502,16.90525,14.167,na,na,na,L41,cs40,2,4,0,0,1,0
256,19.6214,10.891166666666667,32.71675,9.871,13.298,11.40125,na,na,39.18966666666667,M22,cs65,4,1,0,0,2,3
257,6.372428571428571,4.618666666666667,7.68775,na,na,4.618666666666667,2.063,na,9.562666666666667,M12,test999,3,0,0,1,0,3
258,12.395666666666665,17.0435,3.1,32.456,na,1.631,na,na,3.1,L11,stefano1,1,0,0,0,1,1
259,2.5415,3.458,1.625,3.458,1.625,na,na,na,na,M42,stefano1,0,1,0,0,1,0
260,5.2385,9.698,0.779,9.698,0.779,na,na,na,na,M32,test6,0,1,0,0,1,0
261,23.389555555555553,20.67725,25.5594,9.326,30.655,24.461,na,na,5.177,M11,CS104,3,4,0,0,1,1
262,12.257,6.5472,19.39425,12.632,32.879,2.4906666666666664,na,na,5.9095,M12,cs52,3,2,0,0,2,2
